title,item_id,model_id,site,link_online_date,sku_online_date,l2,l3,l4,img,link,price_calc,price_front,ado_61_90,ado_31_60,ado_30,ado_7_14,ado_7
买一送一！户外防水IP67 150000W太阳能泛光灯LED灯带遥控器,27084731745,326243600251,PH,2025-04-24,2026-07-21,灯具,太阳能灯,太阳能投光灯,https://cf.shopee.ph/file/ph-11134207-820ld-mq4ic6sx44ct58,http://shopee.ph/product/704726832/27084731745,9.18,6.59,43.31,19.74,42.08,50.17,84.74
5/10/20/50 个 24 英寸（60 厘米）水晶泡泡气球套装，适用于派对和活动装饰,58214118463,199191666001,BR,2026-07-13,2026-07-13,派对用品,气球,,https://cf.shopee.com.br/file/br-11134207-820lc-mqkwg1ltimm87e,http://shopee.com.br/product/481485318/58214118463,-0.79,4.15,,,7.18,10.83,16.71
六月节日的彩色塑料彩旗 (200m、300m、400m、500m) - 耐用装饰绳 - Arraiá São João（圣约翰节）,58263460320,189623668751,BR,2026-07-01,2026-07-01,派对用品,背景幕布和横幅,,https://cf.shopee.com.br/file/br-11134207-820l6-mq3ymy363ri9ec,http://shopee.com.br/product/1716691932/58263460320,31.55,14.02,,0.22,5.66,1.83,2.29
TBF 2026年独立日背景幕布 | 高级帆布背景幕布 | 防水活动横幅 | 4种尺寸 | 4种设计,54163899638,381258187063,MY,2026-07-13,2026-07-23,派对用品,背景幕布和横幅,,https://cf.shopee.com.my/file/my-11134207-820l9-mqzuiednxh5841,http://shopee.com.my/product/344284946/54163899638,15.5,5.84,,,5.36,1.89,19.82
圆形桌布，奶牛图案，热升华印花弹力布，50厘米,19299896387,297819656342,BR,2025-10-08,2026-07-24,派对用品,背景幕布和横幅,,https://cf.shopee.com.br/file/br-11134207-820ls-mr1pwg9bhbly14,http://shopee.com.br/product/823626901/19299896387,-15.72,3.95,2.89,1.82,3.91,3.17,5.43
生日快乐横幅、白色旗帜套装、带LED灯的串灯、派对装饰、摆件,58212128489,199624145313,BR,2026-06-09,2026-07-14,派对用品,腰带,,https://cf.shopee.com.br/file/br-11134201-820lu-mqm9uw6hi8eaa4,http://shopee.com.br/product/346271558/58212128489,3.94,4.53,,2.09,4.88,4.25,5.5
可爱熊猫卡通动物发光夜暖灯卧室床头桌面装饰灯,58064993453,287830165912,PH,2026-07-28,2026-07-28,灯具,装饰氛围灯,灯串/灯带/窗帘灯/装饰灯/舞台灯,https://cf.shopee.ph/file/sg-11134201-8260i-mm1qgiel2dxc9e,http://shopee.ph/product/1749339138/58064993453,-3.5,0.47,,,2.79,1.5,9.86
生日快乐横幅旗帜，带灯光墙背景幕布，适用于生日派对装饰,18890639825,282838351735,PH,2023-07-11,2026-07-31,派对用品,背景幕布和横幅,,https://cf.shopee.ph/file/ph-11134207-820l6-mrbcf9znxh5852,http://shopee.ph/product/681154582/18890639825,-7.42,1.13,2.31,2.12,3.33,2.69,5.11
LED灯箱装饰灯，带电影院字母标志。,22493980995,179729224703,BR,2025-05-14,2026-07-07,灯具,应急及标识照明,指示牌/灯箱招牌/标识,https://cf.shopee.com.br/file/br-11134207-820lx-mqdegjmisoaqa3,http://shopee.com.br/product/1537789406/22493980995,-53.08,3.76,,,3.08,3.83,6.57
100条一次性防水纸质腕带，彩色手环，身份识别腕带，适用于派对、活动,44703596369,366301783944,MY,2025-12-24,2026-07-31,派对用品,其他的,,https://cf.shopee.com.my/file/my-11134207-820lh-mrba7ay65ret68,http://shopee.com.my/product/1529285799/44703596369,14.92,5.43,3.5,3.07,3.99,2.25,5.71
